Conversation ID	Words per hour	Speech per turn	Mean inter-speaker silence	Turn taking balance	Interruption rate	Grade level	MATTR lexical diversity	Mean word length	VADER sentiment	Responsivity rate
450	9180.18	18.21	1.11	0.876	0.77	4.32	422	4.4	0.352	0.205
451	9163.48	34.91	1.59	0.982	0.63	5.23	450	4.39	0.356	0.136
452	9069.23	28.93	2.0	0.954	0.55	5.28	421	4.31	0.399	0.159
453	8627.24	20.12	1.76	0.866	0.7	4.62	430	4.36	0.43	0.237
454	9005.07	42.85	1.95	0.976	0.59	5.51	409	4.28	0.597	0.133
